loop,addresses_generated,predictions_submitted,correct_predictions,incorrect_predictions,missing_predictions,extra_predictions,accuracy,coverage,cache_hits,cache_misses,predictor_runtime,simulation_runtime,workload_runtime,memory_bytes,energy
58,1024,1024,285,739,0,0,27.832031,100.000000,143,881,0.014899,0.000210,0.004857,8192,4650.400000
59,1024,1024,287,737,0,0,28.027344,100.000000,150,874,0.014375,0.000249,0.006456,8192,4622.400000
60,1024,1024,291,733,0,0,28.417969,100.000000,148,876,0.014501,0.000249,0.006310,8192,4630.400000
61,1024,1024,287,737,0,0,28.027344,100.000000,145,879,0.013200,0.000153,0.005732,8192,4642.400000
62,1024,1024,285,739,0,0,27.832031,100.000000,150,874,0.012723,0.000142,0.004590,8192,4622.400000
63,1024,1024,289,735,0,0,28.222656,100.000000,158,866,0.012386,0.000151,0.005161,8192,4590.400000
64,1024,1024,285,739,0,0,27.832031,100.000000,156,868,0.011801,0.000304,0.006341,8192,4598.400000
65,1024,1024,293,731,0,0,28.613281,100.000000,151,873,0.013736,0.000215,0.005625,8192,4618.400000
66,1024,1024,282,742,0,0,27.539062,100.000000,144,880,0.012290,0.000118,0.005687,8192,4646.400000
67,1024,1024,294,730,0,0,28.710938,100.000000,139,885,0.009625,0.000128,0.004000,8192,4666.400000
68,1024,1024,296,728,0,0,28.906250,100.000000,174,850,0.009726,0.000121,0.006050,8192,4526.400000
69,1024,1024,284,740,0,0,27.734375,100.000000,177,847,0.011533,0.000123,0.004749,8192,4514.400000
70,1024,1024,284,740,0,0,27.734375,100.000000,149,875,0.011760,0.000120,0.004999,8192,4626.400000
71,1024,1024,288,736,0,0,28.125000,100.000000,131,893,0.012648,0.000127,0.005619,8192,4698.400000
72,1024,1024,290,734,0,0,28.320312,100.000000,154,870,0.011619,0.000129,0.004761,8192,4606.400000
73,1024,1024,288,736,0,0,28.125000,100.000000,137,887,0.012436,0.000139,0.004936,8192,4674.400000
74,1024,1024,288,736,0,0,28.125000,100.000000,156,868,0.011716,0.000137,0.005359,8192,4598.400000
75,1024,1024,288,736,0,0,28.125000,100.000000,151,873,0.010789,0.000129,0.004876,8192,4618.400000
76,1024,1024,282,742,0,0,27.539062,100.000000,144,880,0.010271,0.000124,0.005383,8192,4646.400000
77,1024,1024,292,732,0,0,28.515625,100.000000,150,874,0.011742,0.000126,0.003861,8192,4622.400000
78,1024,1024,292,732,0,0,28.515625,100.000000,161,863,0.012489,0.000157,0.005928,8192,4578.400000
79,1024,1024,293,731,0,0,28.613281,100.000000,165,859,0.011981,0.000151,0.005131,8192,4562.400000
80,1024,1024,282,742,0,0,27.539062,100.000000,153,871,0.011194,0.000321,0.006234,8192,4610.400000
81,1024,1024,283,741,0,0,27.636719,100.000000,164,860,0.012082,0.000140,0.004906,8192,4566.400000
82,1024,1024,284,740,0,0,27.734375,100.000000,135,889,0.013448,0.000150,0.004669,8192,4682.400000
83,1024,1024,290,734,0,0,28.320312,100.000000,148,876,0.013747,0.000297,0.006377,8192,4630.400000
84,1024,1024,280,744,0,0,27.343750,100.000000,151,873,0.013294,0.000189,0.006488,8192,4618.400000
85,1024,1024,295,729,0,0,28.808594,100.000000,148,876,0.013203,0.000154,0.005327,8192,4630.400000
86,1024,1024,278,746,0,0,27.148438,100.000000,174,850,0.013135,0.000157,0.005501,8192,4526.400000
87,1024,1024,294,730,0,0,28.710938,100.000000,146,878,0.020337,0.000141,0.005747,8192,4638.400000
88,1024,1024,290,734,0,0,28.320312,100.000000,146,878,0.014497,0.000149,0.005955,8192,4638.400000
89,1024,1024,293,731,0,0,28.613281,100.000000,147,877,0.013866,0.000157,0.005646,8192,4634.400000
90,1024,1024,278,746,0,0,27.148438,100.000000,160,864,0.011378,0.000121,0.005706,8192,4582.400000
91,1024,1024,294,730,0,0,28.710938,100.000000,167,857,0.012693,0.000116,0.005629,8192,4554.400000
92,1024,1024,289,735,0,0,28.222656,100.000000,141,883,0.012382,0.000148,0.004482,8192,4658.400000
93,1024,1024,291,733,0,0,28.417969,100.000000,142,882,0.010868,0.000267,0.004963,8192,4654.400000
94,1024,1024,287,737,0,0,28.027344,100.000000,139,885,0.013507,0.000124,0.005207,8192,4666.400000
95,1024,1024,281,743,0,0,27.441406,100.000000,147,877,0.014505,0.000137,0.006079,8192,4634.400000
96,1024,1024,295,729,0,0,28.808594,100.000000,152,872,0.011402,0.000127,0.005634,8192,4614.400000
97,1024,1024,301,723,0,0,29.394531,100.000000,152,872,0.012135,0.000261,0.005443,8192,4614.400000
98,1024,1024,287,737,0,0,28.027344,100.000000,151,873,0.011760,0.000131,0.003991,8192,4618.400000
