loop,addresses_generated,predictions_submitted,correct_predictions,incorrect_predictions,missing_predictions,extra_predictions,accuracy,coverage,cache_hits,cache_misses,predictor_runtime,simulation_runtime,workload_runtime,memory_bytes,energy
252,1024,1024,288,736,0,0,28.125000,100.000000,157,867,0.013181,0.000163,0.005414,8192,4594.400000
253,1024,1024,287,737,0,0,28.027344,100.000000,132,892,0.013403,0.000218,0.005345,8192,4694.400000
254,1024,1024,291,733,0,0,28.417969,100.000000,145,879,0.011687,0.000136,0.005218,8192,4642.400000
255,1024,1024,282,742,0,0,27.539062,100.000000,151,873,0.012153,0.000139,0.004935,8192,4618.400000
256,1024,1024,290,734,0,0,28.320312,100.000000,158,866,0.012334,0.000151,0.004498,8192,4590.400000
257,1024,1024,284,740,0,0,27.734375,100.000000,147,877,0.011409,0.000191,0.003932,8192,4634.400000
258,1024,1024,285,739,0,0,27.832031,100.000000,146,878,0.011035,0.000125,0.004954,8192,4638.400000
259,1024,1024,281,743,0,0,27.441406,100.000000,142,882,0.010536,0.000119,0.004842,8192,4654.400000
260,1024,1024,291,733,0,0,28.417969,100.000000,143,881,0.012364,0.000140,0.004964,8192,4650.400000
261,1024,1024,282,742,0,0,27.539062,100.000000,165,859,0.011780,0.000122,0.006113,8192,4562.400000
262,1024,1024,287,737,0,0,28.027344,100.000000,149,875,0.011871,0.000314,0.005710,8192,4626.400000
263,1024,1024,286,738,0,0,27.929688,100.000000,150,874,0.012619,0.000128,0.005152,8192,4622.400000
264,1024,1024,281,743,0,0,27.441406,100.000000,137,887,0.011137,0.000124,0.005684,8192,4674.400000
265,1024,1024,301,723,0,0,29.394531,100.000000,150,874,0.012315,0.000117,0.004621,8192,4622.400000
266,1024,1024,288,736,0,0,28.125000,100.000000,160,864,0.012766,0.000260,0.005642,8192,4582.400000
267,1024,1024,290,734,0,0,28.320312,100.000000,124,900,0.012879,0.000225,0.004501,8192,4726.400000
268,1024,1024,285,739,0,0,27.832031,100.000000,148,876,0.010241,0.000137,0.004485,8192,4630.400000
269,1024,1024,293,731,0,0,28.613281,100.000000,165,859,0.013470,0.000142,0.005859,8192,4562.400000
270,1024,1024,289,735,0,0,28.222656,100.000000,155,869,0.012451,0.000145,0.005338,8192,4602.400000
271,1024,1024,281,743,0,0,27.441406,100.000000,148,876,0.013957,0.000137,0.005413,8192,4630.400000
272,1024,1024,288,736,0,0,28.125000,100.000000,159,865,0.010797,0.000159,0.005514,8192,4586.400000
273,1024,1024,288,736,0,0,28.125000,100.000000,160,864,0.010863,0.000143,0.004965,8192,4582.400000
274,1024,1024,287,737,0,0,28.027344,100.000000,147,877,0.012064,0.000133,0.004550,8192,4634.400000
275,1024,1024,285,739,0,0,27.832031,100.000000,150,874,0.011469,0.000121,0.003778,8192,4622.400000
276,1024,1024,292,732,0,0,28.515625,100.000000,145,879,0.013729,0.000163,0.006419,8192,4642.400000
277,1024,1024,281,743,0,0,27.441406,100.000000,147,877,0.011746,0.000237,0.004942,8192,4634.400000
278,1024,1024,293,731,0,0,28.613281,100.000000,161,863,0.013788,0.000143,0.005450,8192,4578.400000
279,1024,1024,278,746,0,0,27.148438,100.000000,144,880,0.012280,0.000144,0.005836,8192,4646.400000
280,1024,1024,293,731,0,0,28.613281,100.000000,153,871,0.012186,0.000134,0.004710,8192,4610.400000
281,1024,1024,285,739,0,0,27.832031,100.000000,139,885,0.011963,0.000147,0.005597,8192,4666.400000
282,1024,1024,291,733,0,0,28.417969,100.000000,138,886,0.011967,0.000128,0.004979,8192,4670.400000
283,1024,1024,303,721,0,0,29.589844,100.000000,152,872,0.010311,0.000119,0.005605,8192,4614.400000
284,1024,1024,291,733,0,0,28.417969,100.000000,134,890,0.010900,0.000119,0.003726,8192,4686.400000
285,1024,1024,283,741,0,0,27.636719,100.000000,150,874,0.010834,0.000126,0.004394,8192,4622.400000
286,1024,1024,286,738,0,0,27.929688,100.000000,150,874,0.011754,0.000123,0.005095,8192,4622.400000
287,1024,1024,295,729,0,0,28.808594,100.000000,150,874,0.011403,0.000276,0.005099,8192,4622.400000
288,1024,1024,282,742,0,0,27.539062,100.000000,156,868,0.011616,0.000133,0.005666,8192,4598.400000
289,1024,1024,291,733,0,0,28.417969,100.000000,163,861,0.012654,0.000125,0.005177,8192,4570.400000
290,1024,1024,291,733,0,0,28.417969,100.000000,155,869,0.012894,0.000315,0.004935,8192,4602.400000
291,1024,1024,286,738,0,0,27.929688,100.000000,157,867,0.012003,0.000119,0.004638,8192,4594.400000
292,1024,1024,281,743,0,0,27.441406,100.000000,171,853,0.011098,0.000117,0.005254,8192,4538.400000
293,1024,1024,290,734,0,0,28.320312,100.000000,154,870,0.010793,0.000119,0.004741,8192,4606.400000
294,1024,1024,294,730,0,0,28.710938,100.000000,161,863,0.011812,0.000168,0.005851,8192,4578.400000
295,1024,1024,290,734,0,0,28.320312,100.000000,149,875,0.012850,0.000175,0.004948,8192,4626.400000
296,1024,1024,294,730,0,0,28.710938,100.000000,162,862,0.012363,0.000138,0.004193,8192,4574.400000
297,1024,1024,283,741,0,0,27.636719,100.000000,144,880,0.011352,0.000142,0.004487,8192,4646.400000
298,1024,1024,284,740,0,0,27.734375,100.000000,153,871,0.011080,0.000327,0.004866,8192,4610.400000
299,1024,1024,287,737,0,0,28.027344,100.000000,150,874,0.011652,0.000132,0.005502,8192,4622.400000
300,1024,1024,292,732,0,0,28.515625,100.000000,168,856,0.011674,0.000168,0.005588,8192,4550.400000
301,1024,1024,284,740,0,0,27.734375,100.000000,147,877,0.013306,0.000278,0.005577,8192,4634.400000
302,1024,1024,290,734,0,0,28.320312,100.000000,168,856,0.013212,0.000147,0.004647,8192,4550.400000
303,1024,1024,293,731,0,0,28.613281,100.000000,162,862,0.012785,0.000140,0.006311,8192,4574.400000
304,1024,1024,284,740,0,0,27.734375,100.000000,143,881,0.014137,0.000211,0.004700,8192,4650.400000
305,1024,1024,284,740,0,0,27.734375,100.000000,154,870,0.012203,0.000139,0.004978,8192,4606.400000
306,1024,1024,298,726,0,0,29.101562,100.000000,169,855,0.012833,0.000145,0.005099,8192,4546.400000
307,1024,1024,292,732,0,0,28.515625,100.000000,174,850,0.011732,0.000118,0.005001,8192,4526.400000
308,1024,1024,280,744,0,0,27.343750,100.000000,143,881,0.012169,0.000117,0.005023,8192,4650.400000
309,1024,1024,286,738,0,0,27.929688,100.000000,156,868,0.011817,0.000121,0.004782,8192,4598.400000
310,1024,1024,281,743,0,0,27.441406,100.000000,157,867,0.012231,0.000120,0.006017,8192,4594.400000
311,1024,1024,295,729,0,0,28.808594,100.000000,135,889,0.010545,0.000223,0.003984,8192,4682.400000
312,1024,1024,287,737,0,0,28.027344,100.000000,144,880,0.012978,0.000152,0.005413,8192,4646.400000
313,1024,1024,276,748,0,0,26.953125,100.000000,168,856,0.011859,0.000117,0.004522,8192,4550.400000
314,1024,1024,288,736,0,0,28.125000,100.000000,156,868,0.011392,0.000125,0.006328,8192,4598.400000
315,1024,1024,278,746,0,0,27.148438,100.000000,150,874,0.011944,0.000117,0.004091,8192,4622.400000
316,1024,1024,296,728,0,0,28.906250,100.000000,149,875,0.011836,0.000136,0.004896,8192,4626.400000
317,1024,1024,289,735,0,0,28.222656,100.000000,154,870,0.011177,0.000119,0.004524,8192,4606.400000
318,1024,1024,294,730,0,0,28.710938,100.000000,152,872,0.010647,0.000184,0.005185,8192,4614.400000
319,1024,1024,290,734,0,0,28.320312,100.000000,159,865,0.010831,0.000130,0.005041,8192,4586.400000
320,1024,1024,287,737,0,0,28.027344,100.000000,155,869,0.012648,0.000143,0.005527,8192,4602.400000
321,1024,1024,288,736,0,0,28.125000,100.000000,150,874,0.013471,0.000176,0.004978,8192,4622.400000
322,1024,1024,293,731,0,0,28.613281,100.000000,144,880,0.012629,0.000139,0.005549,8192,4646.400000
323,1024,1024,285,739,0,0,27.832031,100.000000,135,889,0.011803,0.000140,0.004849,8192,4682.400000
324,1024,1024,288,736,0,0,28.125000,100.000000,155,869,0.011767,0.000137,0.004618,8192,4602.400000
325,1024,1024,275,749,0,0,26.855469,100.000000,155,869,0.012127,0.000250,0.004975,8192,4602.400000
326,1024,1024,281,743,0,0,27.441406,100.000000,150,874,0.012239,0.000260,0.005135,8192,4622.400000
327,1024,1024,304,720,0,0,29.687500,100.000000,146,878,0.011782,0.000294,0.005874,8192,4638.400000
328,1024,1024,282,742,0,0,27.539062,100.000000,150,874,0.011605,0.000276,0.005510,8192,4622.400000
329,1024,1024,287,737,0,0,28.027344,100.000000,178,846,0.012198,0.000284,0.005179,8192,4510.400000
330,1024,1024,291,733,0,0,28.417969,100.000000,142,882,0.013122,0.000198,0.005299,8192,4654.400000
331,1024,1024,289,735,0,0,28.222656,100.000000,135,889,0.011441,0.000122,0.004889,8192,4682.400000
332,1024,1024,289,735,0,0,28.222656,100.000000,145,879,0.011099,0.000120,0.005005,8192,4642.400000
333,1024,1024,296,728,0,0,28.906250,100.000000,138,886,0.010743,0.000121,0.003840,8192,4670.400000
334,1024,1024,288,736,0,0,28.125000,100.000000,130,894,0.011534,0.000119,0.005646,8192,4702.400000
335,1024,1024,285,739,0,0,27.832031,100.000000,148,876,0.010705,0.000121,0.004480,8192,4630.400000
336,1024,1024,279,745,0,0,27.246094,100.000000,154,870,0.013361,0.000139,0.004109,8192,4606.400000
337,1024,1024,285,739,0,0,27.832031,100.000000,149,875,0.012099,0.000122,0.005710,8192,4626.400000
338,1024,1024,280,744,0,0,27.343750,100.000000,170,854,0.011447,0.000243,0.005173,8192,4542.400000
339,1024,1024,286,738,0,0,27.929688,100.000000,144,880,0.012065,0.000145,0.003810,8192,4646.400000
340,1024,1024,281,743,0,0,27.441406,100.000000,152,872,0.012657,0.000123,0.004440,8192,4614.400000
341,1024,1024,287,737,0,0,28.027344,100.000000,149,875,0.011433,0.000119,0.004494,8192,4626.400000
342,1024,1024,294,730,0,0,28.710938,100.000000,164,860,0.011699,0.000117,0.004700,8192,4566.400000
343,1024,1024,287,737,0,0,28.027344,100.000000,155,869,0.011049,0.000128,0.005322,8192,4602.400000
344,1024,1024,294,730,0,0,28.710938,100.000000,154,870,0.012007,0.000141,0.005437,8192,4606.400000
345,1024,1024,284,740,0,0,27.734375,100.000000,149,875,0.011768,0.000265,0.004909,8192,4626.400000
346,1024,1024,286,738,0,0,27.929688,100.000000,145,879,0.011755,0.000304,0.004838,8192,4642.400000
347,1024,1024,292,732,0,0,28.515625,100.000000,144,880,0.012381,0.000152,0.005229,8192,4646.400000
348,1024,1024,290,734,0,0,28.320312,100.000000,168,856,0.011973,0.000143,0.005523,8192,4550.400000
349,1024,1024,282,742,0,0,27.539062,100.000000,158,866,0.012707,0.000144,0.006197,8192,4590.400000
350,1024,1024,291,733,0,0,28.417969,100.000000,144,880,0.013319,0.000186,0.006346,8192,4646.400000
351,1024,1024,286,738,0,0,27.929688,100.000000,146,878,0.013129,0.000156,0.005148,8192,4638.400000
352,1024,1024,287,737,0,0,28.027344,100.000000,155,869,0.012882,0.000274,0.005506,8192,4602.400000
353,1024,1024,289,735,0,0,28.222656,100.000000,142,882,0.011928,0.000271,0.004597,8192,4654.400000
354,1024,1024,290,734,0,0,28.320312,100.000000,161,863,0.011130,0.000343,0.005334,8192,4578.400000
355,1024,1024,303,721,0,0,29.589844,100.000000,156,868,0.011785,0.000141,0.005339,8192,4598.400000
356,1024,1024,289,735,0,0,28.222656,100.000000,151,873,0.011852,0.000118,0.003510,8192,4618.400000
357,1024,1024,281,743,0,0,27.441406,100.000000,146,878,0.011457,0.000267,0.004465,8192,4638.400000
358,1024,1024,290,734,0,0,28.320312,100.000000,154,870,0.013161,0.000126,0.003433,8192,4606.400000
359,1024,1024,296,728,0,0,28.906250,100.000000,145,879,0.011991,0.000120,0.004860,8192,4642.400000
360,1024,1024,287,737,0,0,28.027344,100.000000,155,869,0.012280,0.000234,0.005636,8192,4602.400000
361,1024,1024,287,737,0,0,28.027344,100.000000,135,889,0.012676,0.000305,0.004620,8192,4682.400000
362,1024,1024,295,729,0,0,28.808594,100.000000,158,866,0.011127,0.000134,0.005164,8192,4590.400000
363,1024,1024,295,729,0,0,28.808594,100.000000,155,869,0.011784,0.000116,0.004549,8192,4602.400000
364,1024,1024,286,738,0,0,27.929688,100.000000,150,874,0.011235,0.000122,0.004404,8192,4622.400000
365,1024,1024,284,740,0,0,27.734375,100.000000,149,875,0.020363,0.000120,0.004796,8192,4626.400000
366,1024,1024,284,740,0,0,27.734375,100.000000,141,883,0.010297,0.000118,0.005559,8192,4658.400000
367,1024,1024,288,736,0,0,28.125000,100.000000,145,879,0.011013,0.000217,0.004707,8192,4642.400000
368,1024,1024,288,736,0,0,28.125000,100.000000,141,883,0.012010,0.000148,0.005205,8192,4658.400000
369,1024,1024,288,736,0,0,28.125000,100.000000,137,887,0.011498,0.000284,0.005522,8192,4674.400000
370,1024,1024,292,732,0,0,28.515625,100.000000,148,876,0.010769,0.000138,0.004703,8192,4630.400000
371,1024,1024,289,735,0,0,28.222656,100.000000,158,866,0.012744,0.000139,0.005366,8192,4590.400000
372,1024,1024,280,744,0,0,27.343750,100.000000,143,881,0.012385,0.000157,0.004902,8192,4650.400000
373,1024,1024,278,746,0,0,27.148438,100.000000,145,879,0.011218,0.000141,0.004349,8192,4642.400000
374,1024,1024,285,739,0,0,27.832031,100.000000,137,887,0.012350,0.000126,0.005631,8192,4674.400000
375,1024,1024,292,732,0,0,28.515625,100.000000,153,871,0.013556,0.000154,0.005628,8192,4610.400000
376,1024,1024,278,746,0,0,27.148438,100.000000,138,886,0.012933,0.000142,0.005288,8192,4670.400000
377,1024,1024,289,735,0,0,28.222656,100.000000,158,866,0.012267,0.000136,0.005216,8192,4590.400000
378,1024,1024,289,735,0,0,28.222656,100.000000,139,885,0.011435,0.000138,0.004969,8192,4666.400000
379,1024,1024,291,733,0,0,28.417969,100.000000,149,875,0.012703,0.000138,0.005657,8192,4626.400000
380,1024,1024,291,733,0,0,28.417969,100.000000,149,875,0.013090,0.000143,0.005198,8192,4626.400000
381,1024,1024,285,739,0,0,27.832031,100.000000,151,873,0.012072,0.000122,0.005143,8192,4618.400000
382,1024,1024,294,730,0,0,28.710938,100.000000,129,895,0.011784,0.000124,0.005570,8192,4706.400000
383,1024,1024,289,735,0,0,28.222656,100.000000,171,853,0.011115,0.000275,0.004635,8192,4538.400000
384,1024,1024,284,740,0,0,27.734375,100.000000,157,867,0.011624,0.000123,0.004507,8192,4594.400000
385,1024,1024,279,745,0,0,27.246094,100.000000,145,879,0.011652,0.000122,0.005171,8192,4642.400000
386,1024,1024,295,729,0,0,28.808594,100.000000,152,872,0.013022,0.000122,0.004897,8192,4614.400000
387,1024,1024,281,743,0,0,27.441406,100.000000,139,885,0.011281,0.000121,0.004642,8192,4666.400000
388,1024,1024,288,736,0,0,28.125000,100.000000,154,870,0.011457,0.000127,0.005579,8192,4606.400000
389,1024,1024,288,736,0,0,28.125000,100.000000,165,859,0.011769,0.000282,0.005190,8192,4562.400000
390,1024,1024,284,740,0,0,27.734375,100.000000,140,884,0.011089,0.000262,0.004640,8192,4662.400000
391,1024,1024,289,735,0,0,28.222656,100.000000,180,844,0.011508,0.000121,0.004481,8192,4502.400000
392,1024,1024,284,740,0,0,27.734375,100.000000,142,882,0.012389,0.000123,0.004642,8192,4654.400000
393,1024,1024,279,745,0,0,27.246094,100.000000,158,866,0.016453,0.000154,0.004747,8192,4590.400000
394,1024,1024,284,740,0,0,27.734375,100.000000,137,887,0.013464,0.000137,0.004982,8192,4674.400000
395,1024,1024,293,731,0,0,28.613281,100.000000,160,864,0.011067,0.000141,0.004131,8192,4582.400000
396,1024,1024,283,741,0,0,27.636719,100.000000,156,868,0.011510,0.000139,0.005826,8192,4598.400000
397,1024,1024,288,736,0,0,28.125000,100.000000,146,878,0.012768,0.000293,0.005672,8192,4638.400000
398,1024,1024,280,744,0,0,27.343750,100.000000,154,870,0.013161,0.000331,0.005435,8192,4606.400000
399,1024,1024,290,734,0,0,28.320312,100.000000,150,874,0.011328,0.000137,0.004361,8192,4622.400000
400,1024,1024,284,740,0,0,27.734375,100.000000,150,874,0.013506,0.000316,0.005438,8192,4622.400000
401,1024,1024,278,746,0,0,27.148438,100.000000,137,887,0.012685,0.000146,0.004792,8192,4674.400000
402,1024,1024,288,736,0,0,28.125000,100.000000,149,875,0.011744,0.000207,0.005771,8192,4626.400000
403,1024,1024,277,747,0,0,27.050781,100.000000,153,871,0.012581,0.000132,0.006216,8192,4610.400000
404,1024,1024,287,737,0,0,28.027344,100.000000,141,883,0.012120,0.000144,0.005341,8192,4658.400000
405,1024,1024,285,739,0,0,27.832031,100.000000,137,887,0.012176,0.000129,0.004237,8192,4674.400000
406,1024,1024,285,739,0,0,27.832031,100.000000,154,870,0.011031,0.000121,0.005021,8192,4606.400000
407,1024,1024,293,731,0,0,28.613281,100.000000,157,867,0.011620,0.000311,0.005235,8192,4594.400000
408,1024,1024,288,736,0,0,28.125000,100.000000,159,865,0.010656,0.000131,0.003915,8192,4586.400000
409,1024,1024,281,743,0,0,27.441406,100.000000,155,869,0.010917,0.000128,0.006089,8192,4602.400000
410,1024,1024,289,735,0,0,28.222656,100.000000,132,892,0.011784,0.000116,0.005705,8192,4694.400000
411,1024,1024,284,740,0,0,27.734375,100.000000,137,887,0.012599,0.000290,0.005581,8192,4674.400000
412,1024,1024,292,732,0,0,28.515625,100.000000,140,884,0.012884,0.000127,0.004773,8192,4662.400000
413,1024,1024,281,743,0,0,27.441406,100.000000,155,869,0.011808,0.000125,0.004360,8192,4602.400000
414,1024,1024,281,743,0,0,27.441406,100.000000,152,872,0.010696,0.000121,0.005875,8192,4614.400000
415,1024,1024,286,738,0,0,27.929688,100.000000,151,873,0.012211,0.000128,0.004368,8192,4618.400000
416,1024,1024,288,736,0,0,28.125000,100.000000,135,889,0.011086,0.000118,0.004062,8192,4682.400000
417,1024,1024,285,739,0,0,27.832031,100.000000,151,873,0.011652,0.000137,0.005028,8192,4618.400000
418,1024,1024,289,735,0,0,28.222656,100.000000,161,863,0.012617,0.000149,0.005226,8192,4578.400000
419,1024,1024,293,731,0,0,28.613281,100.000000,169,855,0.011350,0.000172,0.004897,8192,4546.400000
420,1024,1024,287,737,0,0,28.027344,100.000000,154,870,0.011816,0.000142,0.005251,8192,4606.400000
421,1024,1024,290,734,0,0,28.320312,100.000000,151,873,0.010531,0.000133,0.004513,8192,4618.400000
422,1024,1024,286,738,0,0,27.929688,100.000000,165,859,0.012172,0.000130,0.005054,8192,4562.400000
423,1024,1024,285,739,0,0,27.832031,100.000000,151,873,0.011242,0.000119,0.004648,8192,4618.400000
424,1024,1024,290,734,0,0,28.320312,100.000000,140,884,0.012976,0.000153,0.005172,8192,4662.400000
425,1024,1024,295,729,0,0,28.808594,100.000000,154,870,0.011595,0.000143,0.006023,8192,4606.400000
426,1024,1024,288,736,0,0,28.125000,100.000000,146,878,0.011588,0.000137,0.004471,8192,4638.400000
427,1024,1024,288,736,0,0,28.125000,100.000000,139,885,0.011948,0.000331,0.006265,8192,4666.400000
428,1024,1024,290,734,0,0,28.320312,100.000000,164,860,0.011645,0.000202,0.005162,8192,4566.400000
429,1024,1024,289,735,0,0,28.222656,100.000000,147,877,0.011150,0.000124,0.005507,8192,4634.400000
430,1024,1024,288,736,0,0,28.125000,100.000000,136,888,0.011150,0.000120,0.006165,8192,4678.400000
431,1024,1024,290,734,0,0,28.320312,100.000000,148,876,0.010195,0.000118,0.005038,8192,4630.400000
432,1024,1024,284,740,0,0,27.734375,100.000000,129,895,0.011419,0.000218,0.005940,8192,4706.400000
433,1024,1024,289,735,0,0,28.222656,100.000000,137,887,0.010581,0.000270,0.004057,8192,4674.400000
434,1024,1024,295,729,0,0,28.808594,100.000000,144,880,0.013640,0.000126,0.004514,8192,4646.400000
435,1024,1024,287,737,0,0,28.027344,100.000000,154,870,0.010415,0.000118,0.005637,8192,4606.400000
436,1024,1024,282,742,0,0,27.539062,100.000000,144,880,0.012617,0.000122,0.005507,8192,4646.400000
437,1024,1024,297,727,0,0,29.003906,100.000000,150,874,0.010966,0.000119,0.004314,8192,4622.400000
438,1024,1024,281,743,0,0,27.441406,100.000000,154,870,0.011424,0.000121,0.004604,8192,4606.400000
439,1024,1024,282,742,0,0,27.539062,100.000000,151,873,0.012666,0.000141,0.005200,8192,4618.400000
440,1024,1024,295,729,0,0,28.808594,100.000000,149,875,0.012489,0.000128,0.003964,8192,4626.400000
441,1024,1024,285,739,0,0,27.832031,100.000000,162,862,0.011805,0.000125,0.005665,8192,4574.400000
442,1024,1024,290,734,0,0,28.320312,100.000000,148,876,0.012599,0.000125,0.004947,8192,4630.400000
443,1024,1024,294,730,0,0,28.710938,100.000000,145,879,0.011333,0.000123,0.004178,8192,4642.400000
444,1024,1024,284,740,0,0,27.734375,100.000000,162,862,0.011659,0.000123,0.005318,8192,4574.400000
445,1024,1024,283,741,0,0,27.636719,100.000000,132,892,0.012853,0.000122,0.003520,8192,4694.400000
446,1024,1024,278,746,0,0,27.148438,100.000000,156,868,0.011993,0.000118,0.005210,8192,4598.400000
447,1024,1024,293,731,0,0,28.613281,100.000000,136,888,0.011934,0.000125,0.005404,8192,4678.400000
448,1024,1024,297,727,0,0,29.003906,100.000000,157,867,0.012699,0.000129,0.006106,8192,4594.400000
449,1024,1024,293,731,0,0,28.613281,100.000000,158,866,0.012841,0.000128,0.005744,8192,4590.400000
450,1024,1024,287,737,0,0,28.027344,100.000000,138,886,0.011842,0.000266,0.005434,8192,4670.400000
451,1024,1024,292,732,0,0,28.515625,100.000000,146,878,0.011418,0.000122,0.006152,8192,4638.400000
452,1024,1024,290,734,0,0,28.320312,100.000000,154,870,0.011212,0.000121,0.004638,8192,4606.400000
453,1024,1024,295,729,0,0,28.808594,100.000000,182,842,0.012603,0.000122,0.005176,8192,4494.400000
454,1024,1024,295,729,0,0,28.808594,100.000000,136,888,0.011439,0.000130,0.005112,8192,4678.400000
455,1024,1024,284,740,0,0,27.734375,100.000000,133,891,0.011353,0.000119,0.004275,8192,4690.400000
456,1024,1024,277,747,0,0,27.050781,100.000000,156,868,0.012531,0.000130,0.005857,8192,4598.400000
457,1024,1024,275,749,0,0,26.855469,100.000000,162,862,0.012475,0.000156,0.005478,8192,4574.400000
458,1024,1024,294,730,0,0,28.710938,100.000000,157,867,0.012151,0.000144,0.004850,8192,4594.400000
459,1024,1024,284,740,0,0,27.734375,100.000000,170,854,0.012581,0.000150,0.005457,8192,4542.400000
460,1024,1024,286,738,0,0,27.929688,100.000000,160,864,0.010836,0.000139,0.004949,8192,4582.400000
461,1024,1024,286,738,0,0,27.929688,100.000000,145,879,0.011693,0.000139,0.005031,8192,4642.400000
462,1024,1024,290,734,0,0,28.320312,100.000000,151,873,0.011251,0.000140,0.004693,8192,4618.400000
463,1024,1024,284,740,0,0,27.734375,100.000000,160,864,0.012811,0.000154,0.005054,8192,4582.400000
464,1024,1024,282,742,0,0,27.539062,100.000000,158,866,0.011696,0.000145,0.005822,8192,4590.400000
465,1024,1024,285,739,0,0,27.832031,100.000000,154,870,0.011716,0.000146,0.005007,8192,4606.400000
466,1024,1024,292,732,0,0,28.515625,100.000000,152,872,0.011332,0.000132,0.004764,8192,4614.400000
467,1024,1024,299,725,0,0,29.199219,100.000000,148,876,0.012717,0.000132,0.004921,8192,4630.400000
468,1024,1024,279,745,0,0,27.246094,100.000000,139,885,0.010865,0.000135,0.005250,8192,4666.400000
469,1024,1024,295,729,0,0,28.808594,100.000000,149,875,0.011373,0.000145,0.004376,8192,4626.400000
470,1024,1024,286,738,0,0,27.929688,100.000000,140,884,0.011292,0.000117,0.005027,8192,4662.400000
471,1024,1024,283,741,0,0,27.636719,100.000000,159,865,0.011471,0.000124,0.004569,8192,4586.400000
472,1024,1024,287,737,0,0,28.027344,100.000000,151,873,0.011246,0.000118,0.004100,8192,4618.400000
473,1024,1024,284,740,0,0,27.734375,100.000000,164,860,0.011961,0.000320,0.006233,8192,4566.400000
474,1024,1024,284,740,0,0,27.734375,100.000000,157,867,0.011242,0.000132,0.004738,8192,4594.400000
475,1024,1024,284,740,0,0,27.734375,100.000000,137,887,0.011930,0.000122,0.005194,8192,4674.400000
476,1024,1024,289,735,0,0,28.222656,100.000000,161,863,0.011654,0.000121,0.004237,8192,4578.400000
477,1024,1024,284,740,0,0,27.734375,100.000000,174,850,0.012060,0.000134,0.004632,8192,4526.400000
478,1024,1024,276,748,0,0,26.953125,100.000000,169,855,0.012219,0.000148,0.006113,8192,4546.400000
479,1024,1024,293,731,0,0,28.613281,100.000000,160,864,0.010579,0.000159,0.004723,8192,4582.400000
480,1024,1024,285,739,0,0,27.832031,100.000000,163,861,0.011213,0.000150,0.005634,8192,4570.400000
481,1024,1024,290,734,0,0,28.320312,100.000000,139,885,0.011818,0.000143,0.004629,8192,4666.400000
482,1024,1024,288,736,0,0,28.125000,100.000000,159,865,0.012053,0.000142,0.004494,8192,4586.400000
483,1024,1024,293,731,0,0,28.613281,100.000000,158,866,0.011269,0.000282,0.004523,8192,4590.400000
484,1024,1024,279,745,0,0,27.246094,100.000000,145,879,0.013596,0.000195,0.005196,8192,4642.400000
485,1024,1024,288,736,0,0,28.125000,100.000000,140,884,0.012688,0.000156,0.005538,8192,4662.400000
486,1024,1024,287,737,0,0,28.027344,100.000000,143,881,0.012937,0.000148,0.005915,8192,4650.400000
487,1024,1024,291,733,0,0,28.417969,100.000000,159,865,0.013093,0.000148,0.006375,8192,4586.400000
488,1024,1024,296,728,0,0,28.906250,100.000000,153,871,0.013078,0.000151,0.005633,8192,4610.400000
489,1024,1024,286,738,0,0,27.929688,100.000000,156,868,0.012319,0.000149,0.004549,8192,4598.400000
490,1024,1024,274,750,0,0,26.757812,100.000000,158,866,0.010799,0.000124,0.004786,8192,4590.400000
491,1024,1024,279,745,0,0,27.246094,100.000000,180,844,0.012042,0.000128,0.005196,8192,4502.400000
492,1024,1024,284,740,0,0,27.734375,100.000000,148,876,0.012673,0.000125,0.005128,8192,4630.400000
493,1024,1024,281,743,0,0,27.441406,100.000000,150,874,0.011614,0.000125,0.003988,8192,4622.400000
494,1024,1024,282,742,0,0,27.539062,100.000000,161,863,0.011991,0.000272,0.004876,8192,4578.400000
495,1024,1024,299,725,0,0,29.199219,100.000000,155,869,0.011298,0.000285,0.004069,8192,4602.400000
496,1024,1024,289,735,0,0,28.222656,100.000000,145,879,0.013101,0.000125,0.003758,8192,4642.400000
497,1024,1024,285,739,0,0,27.832031,100.000000,159,865,0.011589,0.000153,0.005866,8192,4586.400000
498,1024,1024,295,729,0,0,28.808594,100.000000,174,850,0.013336,0.000286,0.004603,8192,4526.400000
499,1024,1024,284,740,0,0,27.734375,100.000000,154,870,0.012905,0.000124,0.004411,8192,4606.400000
500,1024,1024,286,738,0,0,27.929688,100.000000,146,878,0.012286,0.000127,0.003990,8192,4638.400000
501,1024,1024,291,733,0,0,28.417969,100.000000,154,870,0.009691,0.000119,0.005157,8192,4606.400000
502,1024,1024,293,731,0,0,28.613281,100.000000,147,877,0.011658,0.000219,0.004924,8192,4634.400000
503,1024,1024,292,732,0,0,28.515625,100.000000,154,870,0.013383,0.000156,0.005810,8192,4606.400000
504,1024,1024,293,731,0,0,28.613281,100.000000,137,887,0.010396,0.000139,0.011301,8192,4674.400000
505,1024,1024,298,726,0,0,29.101562,100.000000,147,877,0.011553,0.000140,0.005700,8192,4634.400000
506,1024,1024,292,732,0,0,28.515625,100.000000,171,853,0.012740,0.000143,0.005113,8192,4538.400000
507,1024,1024,300,724,0,0,29.296875,100.000000,143,881,0.011704,0.000289,0.005282,8192,4650.400000
508,1024,1024,294,730,0,0,28.710938,100.000000,156,868,0.012377,0.000124,0.004009,8192,4598.400000
